id,iter,95th,5th,median,mean,stdev,min,max
800000000000000000000000000000000000000,2,2204795791,2204795791,1545680638,1545680638,932129588.54,886565485,2204795791
800001000000000000000000000000000000000,2,712575160,712575160,700536480,700536480,17025264.53,688497800,712575160
800001000000000000000400000000000000000,2,728367525,728367525,697946049.5,697946049.5,43022463.24,667524574,728367525
800001000000000000000408000000000000000,2,616640178,616640178,607445456.5,607445456.5,13003299.85,598250735,616640178
801001000000000000000408000000000000000,2,632002242,632002242,587079848,587079848,63529858.85,542157454,632002242
40000000801001000000000000000408000000000000000,2,599663631,599663631,563592873.5,563592873.5,51011754.46,527522116,599663631
40000000801001000000000100000408000000000000000,2,584374167,584374167,585184187.5,585184187.5,1145541.98,584374167,585994208
40000000801001000000000100002408000000000000000,2,566661844,566661844,559650154.5,559650154.5,9916026.39,552638465,566661844
40000040801001000000000100002408000000000000000,2,544094157,544094157,537926358.5,537926358.5,8722584.29,531758560,544094157
40000040c01001000000000100002408000000000000000,2,486110852,486110852,502780522.5,502780522.5,23574474.10,486110852,519450193
40000040c01001000200000100002408000000000000000,2,530603647,530603647,518564444,518564444,17026004.16,506525241,530603647
8040000040c01001000200000100002408000000000000000,2,503843449,503843449,491320466,491320466,17710172.40,478797483,503843449
10000000000000008040000040c01001000200000100002408000000000000000,2,462501007,462501007,493259165,493259165,43498604.20,462501007,524017323
10000002000000008040000040c01001000200000100002408000000000000000,2,542845038,542845038,514367404.5,514367404.5,40273455.52,485889771,542845038
10000002001000008040000040c01001000200000100002408000000000000000,2,554316117,554316117,559599557,559599557,7471912.50,554316117,564882997
10000022001000008040000040c01001000200000100002408000000000000000,2,521535136,521535136,535502306,535502306,19752561.24,521535136,549469476
10000032001000008040000040c01001000200000100002408000000000000000,2,483612177,483612177,496367888.5,496367888.5,18039300.20,483612177,509123600
10000032001000008040000040c01001000200800100002408000000000000000,2,432521162,432521162,451836871.5,451836871.5,27316538.34,432521162,471152581
10000032001000008040000040c01001000200800100002608000000000000000,2,474575772,474575772,486365324,486365324,16672944.33,474575772,498154876
10000032001000008040000040c01101000200800100002608000000000000000,2,446128217,446128217,464057225.5,464057225.5,25355446.98,446128217,481986234
10000032001000008044000040c01101000200800100002608000000000000000,2,537522505,537522505,522161379,522161379,21723912.72,506800253,537522505
10000032001000008044000040c01101000200800120002608000000000000000,2,518388186,518388186,492162042.5,492162042.5,37089367.83,465935899,518388186
10000032001000008044080040c01101000200800120002608000000000000000,2,487393715,487393715,458079712.5,458079712.5,41456259.90,428765710,487393715
10000032001000008044080040c01101000200900120002608000000000000000,2,453939907,453939907,471936864.5,471936864.5,25451541.38,453939907,489933822
10000032001040008044080040c01101000200900120002608000000000000000,2,522227527,522227527,482330337.5,482330337.5,56423146.49,442433148,522227527
10000032001040008044080040c01101000200900120402608000000000000000,2,446556112,446556112,443589280,443589280,4195734.05,440622448,446556112
10000032001040008044080240c01101000200900120402608000000000000000,2,430881498,430881498,448377372,448377372,24742902.30,430881498,465873246
10000032001040008244080240c01101000200900120402608000000000000000,2,454606388,454606388,468340633.5,468340633.5,19423156.26,454606388,482074879
10000032001040008244080240c01103000200900120402608000000000000000,2,493450626,493450626,465700392,465700392,39244757.28,437950158,493450626
10000032001040008244080240e01103000200900120402608000000000000000,2,580063571,580063571,505720222,505720222,105137372.43,431376873,580063571
10008032001040008244080240e01103000200900120402608000000000000000,2,448707581,448707581,458751583,458751583,14204363.85,448707581,468795585
10008132001040008244080240e01103000200900120402608000000000000000,2,412202113,412202113,421215786.5,421215786.5,12747259.31,412202113,430229460
1000a132001040008244080240e01103000200900120402608000000000000000,2,409620267,409620267,434899408.5,434899408.5,35750104.75,409620267,460178550
1000a1320010c0008244080240e01103000200900120402608000000000000000,2,475951664,475951664,466749406,466749406,13013958.07,457547148,475951664
1000a1320010c0008244080240e01103000200900120402618000000000000000,2,471854786,471854786,480911446,480911446,12808051.40,471854786,489968106
1000a1320010c0008244080240f01103000200900120402618000000000000000,2,441020591,441020591,430709130,430709130,14582607.99,420397669,441020591
1000a1320010c0008244080240f81103000200900120402618000000000000000,2,424963859,424963859,462252711,462252711,52734400.22,424963859,499541563
1000a1320010c0008244080240f8110300020090012040261a000000000000000,2,534221272,534221272,551639107.5,551639107.5,24632539.19,534221272,569056943
1000a1320010c0008244080340f8110300020090012040261a000000000000000,2,504349838,504349838,476885205.5,476885205.5,38840855.77,449420573,504349838
1000a1320010c0008244080344f8110300020090012040261a000000000000000,2,414935537,414935537,416471387.5,416471387.5,2172020.61,414935537,418007238
1000a1320010c00082440a0344f8110300020090012040261a000000000000000,2,425375341,425375341,432926883,432926883,10679493.11,425375341,440478425
1000a1320010c00082440a0344f8110300020090012040661a000000000000000,2,430153238,430153238,440423027.5,440423027.5,14523675.59,430153238,450692817
1000a1320010c00092440a0344f8110300020090012040661a000000000000000,2,560528368,560528368,531329429,531329429,41293535.54,502130490,560528368
1000a1320010c00892440a0344f8110300020090012040661a000000000000000,2,483466423,483466423,464391734.5,464391734.5,26975683.17,445317046,483466423
1000a1321010c00892440a0344f8110300020090012040661a000000000000000,2,544873441,544873441,505820002,505820002,55229903.09,466766563,544873441
1000a1321010c00892440a2344f8110300020090012040661a000000000000000,2,493629044,493629044,484268676,484268676,13237559.37,474908308,493629044
1000a3321010c00892440a2344f8110300020090012040661a000000000000000,2,452514266,452514266,463924025,463924025,16135835.92,452514266,475333784
1000a3321010c00892440a2344f8110300020190012040661a000000000000000,2,484445481,484445481,498739942,498739942,20215420.61,484445481,513034403
1000a3321010c20892440a2344f8110300020190012040661a000000000000000,2,458354136,458354136,475247688.5,475247688.5,23891091.06,458354136,492141241
1000a3321010c20892440a2344f8110302020190012040661a000000000000000,2,488474594,488474594,510301695.5,510301695.5,30868182.97,488474594,532128797
1000a3321010c20892440a2344f8110302020190412040661a000000000000000,2,556904681,556904681,519140015.5,519140015.5,53407302.13,481375350,556904681
1000a3321010c20892440a2344f8110302020190412040661b000000000000000,2,542791174,542791174,521759203.5,521759203.5,29743697.92,500727233,542791174
1000b3321010c20892440a2344f8110302020190412040661b000000000000000,2,434581475,434581475,453142824,453142824,26249711.49,434581475,471704173
1000b3321010c20892440a2344f8110302020190412040e61b000000000000000,2,597601530,597601530,605172368.5,605172368.5,10706782.49,597601530,612743207
1000b3321010c20892440a2344f8110302020194412040e61b000000000000000,2,599358948,599358948,586936071.5,586936071.5,17568600.43,574513195,599358948
1000b3321010c20893440a2344f8110302020194412040e61b000000000000000,2,594057560,594057560,586758393,586758393,10322580.97,579459226,594057560
1000b3321010c20893448a2344f8110302020194412040e61b000000000000000,2,554300457,554300457,552263599,552263599,2880552.21,550226741,554300457
1000b3321010c20893448a2344f8110302020194412040e65b000000000000000,2,542463969,542463969,588335026,588335026,64871470.93,542463969,634206083
1000b3321010c60893448a2344f8110302020194412040e65b000000000000000,2,541824804,541824804,548393293.5,548393293.5,9289246.94,541824804,554961783
1000b3321010c60893448a2344f8110302020194412040e65f000000000000000,2,679793238,679793238,677767575,677767575,2864720.09,675741912,679793238
1000b3321010c60893448a234cf8110302020194412040e65f000000000000000,2,566681980,566681980,586898707.5,586898707.5,28590770.22,566681980,607115435
1000b3321010c60893448a234cf9110302020194412040e65f000000000000000,2,577467704,577467704,590944039.5,590944039.5,19058416.44,577467704,604420375
1000b3321010c60893449a234cf9110302020194412040e65f000000000000000,2,639960725,639960725,690237042.5,690237042.5,71101450.07,639960725,740513360
1000b3321010c60893449a236cf9110302020194412040e65f000000000000000,2,580019508,580019508,566777609,566777609,18726873.16,553535710,580019508
1200b3321010c60893449a236cf9110302020194412040e65f000000000000000,2,641779536,641779536,619640473.5,619640473.5,31309362.45,597501411,641779536
1200b3321010c60893449a236cf9110302024194412040e65f000000000000000,2,581551410,581551410,599843664,599843664,25869153.69,581551410,618135918
1200b3321010c60893449a236cf911030202419441a040e65f000000000000000,2,549721617,549721617,548991640.5,548991640.5,1032342.67,548261664,549721617
1200b3321010c60893449a236cf911030202419441a044e65f000000000000000,2,635536444,635536444,647073142,647073142,16315354.78,635536444,658609840
