id,conjuncts_total,conjuncts_elim
80000000000000000000000000000000000000000000,217,202
80000000000000000000000800000000000000000000,222,207
80000000000000000000000808000000000000000000,227,212
8080000000000000000000000808000000000000000000,233,212
8080000000000000200000000808000000000000000000,247,219
8080000000000000200000000808000000000200000000,247,219
8080000000000000200001000808000000000200000000,254,219
8080000000000000200001000808000040000200000000,254,219
8080000080000000200001000808000040000200000000,256,221
8080000080800000200001000808000040000200000000,258,221
8082000080800000200001000808000040000200000000,268,223
8082000080a00000200001000808000040000200000000,271,224
8082000080a00000200001000808000040200200000000,271,224
8082000080a00000200001004808000040200200000000,290,241
8082040080a00000200001004808000040200200000000,292,243
8082040080b00000200001004808000040200200000000,294,244
8082040080b00000200001004848000040200200000000,313,259
8082040080b00000200001004848020040200200000000,315,261
8082040080b00000200001004848020140200200000000,317,263
8082040080b00000200001004848020140200a00000000,327,273
8082040080b00000200001004848020150200a00000000,327,273
8082040080b00000200001004848020150280a00000000,329,275
8082040080b0000020000100484a020150280a00000000,336,282
8082040480b0000020000100484a020150280a00000000,340,282
8082040480b0000020000100684a020150280a00000000,348,290
8082040480b0000020000100684a220150280a00000000,350,292
8082042480b0000020000100684a220150280a00000000,369,300
8082042480b0000020000100684a220170280a00000000,369,300
8082042480b0000020040100684a220170280a00000000,371,314
8082042480b0000020040100684a220170281a00000000,386,329
8082042480b0000020040100684a221170281a00000000,386,329
8082042480b0000020050100684a221170281a00000000,400,338
8082042480b0100020050100684a221170281a00000000,403,338
8082042480b0108020050100684a221170281a00000000,411,343
8082042480b0108020050100684a221570281a00000000,413,345
8082042482b0108020050100684a221570281a00000000,425,349
8082042482b0108020050100684a221578281a00000000,429,353
8082042482b0108020050100684a321578281a00000000,433,356
8082042482b0108020050500684a321578281a00000000,447,364
8082042482b0108020050500684a32157c281a00000000,453,370
8082042482b0108020050500684a321d7c281a00000000,453,370
8082042482b0108020050500e84a321d7c281a00000000,527,430
8082042482b0108020050500e84a321d7e281a00000000,529,432
8082042482b0108020050500e84a321d7f281a00000000,529,432
8082042482b0108020050500e94a321d7f281a00000000,554,452
8086042482b0108020050500e94a321d7f281a00800000,554,452
8086042482b0108020050500e94a325d7f281a00800000,554,452
8086042482b0108020050500e94a325d7f281a02800000,554,452
8086042482b0108020050504e94a325d7f281a02800000,554,452
8086042482b0108020050504e94a325d7f281e02800000,560,455
8086042482b0108020050504e94a325dff281e02800000,560,455
8086042482b0108020050504e94a725dff281e02800000,564,458
8086042482b0108020050504e94e725dff281e02800000,572,463
8086042482b8108020050504e94e725dff281e02800000,574,466
8086042482b81080a0050504e94e725dff281e02800000,576,468
8086042482b81080a0051504e94e725dff281e02800000,578,470
8086042482b81080b0051504e94e725dff281e02800000,622,487
8086042482b81080b0051504e96e725dff281e02800000,630,492
8086042582b81080b0051504e96e725dff281e02800000,633,493
48086042582b81080b0051504e96e725dff281e02800000,637,497
48086042582b81080b0051506e96e725dff281e02800000,643,502
48086042582b81080b0051506e96e725fff281e02800000,649,508
48086046582b81080b0051506e96e725fff281e02800000,695,523
48096046582b81080b0051506e96e725fff281e02800000,695,523
48096046582b81280b0051506e96e725fff281e02800000,697,526
4a096046582b81280b0051506e96e725fff281e02800000,702,526
4a096046582b81280b0151506e96e725fff281e02800000,709,530
4a096056582b81280b0151506e96e725fff281e02800000,714,534
4a096056582b81280b0151546e96e725fff281e02800000,716,543
4a096056582b81280b0151546e96f725fff281e02800000,738,555
4a096056582b81280b0151546e96f765fff281e02800000,738,555
4a096056582b81280b0151566e96f765fff281e02800000,745,560
4a096056582b81280b0151576e96f765fff281e02800000,761,576
4a096056582ba1280b0151576e96f765fff281e02800000,801,589
4a096056582ba1280f0151576e96f765fff281e02800000,950,619
4a096057582ba1280f0151576e96f765fff281e02800000,1006,639
4a096057582ba1280f0151576e96f765fff281f02800000,1038,673
4a096057582ba1280f0151576eb6f765fff281f02800000,1045,676
4a096057582ba1280f0151576eb7f765fff281f02800000,1056,681
4b096057582ba1280f0151576eb7f765fff281f02800000,1104,731
4b896057582ba1280f0151576eb7f765fff281f02800000,1382,786
6b896057582ba1280f0151576eb7f765fff281f02800000,1398,792
6b896057592ba1280f0151576eb7f765fff281f02800000,1414,807
6b896057592ba1280f0155576eb7f765fff281f02800000,1430,819
6b896057592ba1280f0155576eb7f765fff281f02800010,1430,819
6b896857592ba1280f0155576eb7f765fff281f02800010,1446,835
6b896857592ba1380f0155576eb7f765fff281f02800010,1513,893
6b896857592ba1380f0155576eb7f765fff281f0a800010,1513,893
6b896857592ba1380f0955576eb7f765fff281f0a800010,1520,901
6b896857592ba1380f0975576eb7f765fff281f0a800010,1527,916
