id,iter,95th,5th,median,mean,stdev,min,max
80000000000000000000000000000000000000000000,2,89405170,89405170,52999086.5,52999086.5,51485977.04,16593003,89405170
80000000000000000000000800000000000000000000,2,15653794,15653794,15295876.5,15295876.5,506171.78,14937959,15653794
80000000000000000000000808000000000000000000,2,11103373,11103373,11981762.5,11981762.5,1242230.34,11103373,12860152
8080000000000000000000000808000000000000000000,2,17198177,17198177,13360224,13360224,5427685.18,9522271,17198177
8080000000000000200000000808000000000000000000,2,15545890,15545890,15480183.5,15480183.5,92923.02,15414477,15545890
8080000000000000200000000808000000000200000000,2,11730855,11730855,16593279.5,16593279.5,6876506.67,11730855,21455704
8080000000000000200001000808000000000200000000,2,14163112,14163112,11474257.5,11474257.5,3802614.50,8785403,14163112
8080000000000000200001000808000040000200000000,2,13232121,13232121,12494086.5,12494086.5,1043738.40,11756052,13232121
8080000080000000200001000808000040000200000000,2,11583664,11583664,9627715.5,9627715.5,2766128.90,7671767,11583664
8080000080800000200001000808000040000200000000,2,11284150,11284150,11183666.5,11183666.5,142105.13,11083183,11284150
8082000080800000200001000808000040000200000000,2,16344995,16344995,15096127.5,15096127.5,1766165.36,13847260,16344995
8082000080a00000200001000808000040000200000000,2,12665463,12665463,10176582,10176582,3519809.27,7687701,12665463
8082000080a00000200001000808000040200200000000,2,12230748,12230748,11200004,11200004,1457692.14,10169260,12230748
8082000080a00000200001004808000040200200000000,2,7316556,7316556,8500541.5,8500541.5,1674408.35,7316556,9684527
8082040080a00000200001004808000040200200000000,2,10151560,10151560,8552085.5,8552085.5,2261998.53,6952611,10151560
8082040080b00000200001004808000040200200000000,2,6815630,6815630,6895816,6895816,113400.13,6815630,6976002
8082040080b00000200001004848000040200200000000,2,7876645,7876645,7117073.5,7117073.5,1074196.32,6357502,7876645
8082040080b00000200001004848020040200200000000,2,6074714,6074714,5996967,5996967,109950.86,5919220,6074714
8082040080b00000200001004848020140200200000000,2,5810115,5810115,6118242,6118242,435757.38,5810115,6426369
8082040080b00000200001004848020140200a00000000,2,6505572,6505572,6936021,6936021,608746.81,6505572,7366470
8082040080b00000200001004848020150200a00000000,2,6253612,6253612,6208500,6208500,63798.00,6163388,6253612
8082040080b00000200001004848020150280a00000000,2,8523272,8523272,7720918,7720918,1134699.91,6918564,8523272
8082040080b0000020000100484a020150280a00000000,2,6202416,6202416,6515425.5,6515425.5,442662.28,6202416,6828435
8082040480b0000020000100484a020150280a00000000,2,5702609,5702609,7399094,7399094,2399192.10,5702609,9095579
8082040480b0000020000100684a020150280a00000000,2,6500043,6500043,6302514,6302514,279348.19,6104985,6500043
8082040480b0000020000100684a220150280a00000000,2,9691004,9691004,8212909,8212909,2090342.00,6734814,9691004
8082042480b0000020000100684a220150280a00000000,2,11297357,11297357,9200145,9200145,2965905.65,7102933,11297357
8082042480b0000020000100684a220170280a00000000,2,6341759,6341759,6207648,6207648,189661.60,6073537,6341759
8082042480b0000020040100684a220170280a00000000,2,5755586,5755586,6149259.5,6149259.5,556738.40,5755586,6542933
8082042480b0000020040100684a220170281a00000000,2,5906450,5906450,5674635,5674635,327835.92,5442820,5906450
