id,path_id,level_id,component_added
0,0,0,NA
80000000000000000000000000000000000000000000,0,1,m.main.2.post.bool.10.10
80000000000000000000000800000000000000000000,0,2,p.context.6.pred.acc.71.80
80000000000000000000000808000000000000000000,0,3,p.context.6.pred.acc.71.88
8080000000000000000000000808000000000000000000,0,4,m.fixup_ancestors.1.pre.pred_inst.5.5
8080000000000000200000000808000000000000000000,0,5,m.tree_get_right.3.fold.pred_inst.53.55
8080000000000000200000000808000000000200000000,0,6,p.tree.6.pred.acc.73.128
8080000000000000200001000808000000000200000000,0,7,m.tree_has_right.1.pre.pred_inst.67.69
8080000000000000200001000808000040000200000000,0,8,p.subtreeHelper.6.pred.acc.72.108
8080000080000000200001000808000040000200000000,0,9,m.tree_add_right.4.unfold.pred_inst.25.27
8080000080800000200001000808000040000200000000,0,10,m.tree_get_left.1.pre.pred_inst.32.34
8082000080800000200001000808000040000200000000,0,11,m.main.5.inv.pred_inst.12.14
8082000080a00000200001000808000040000200000000,0,12,m.tree_get_left.2.post.pred_inst.33.35
8082000080a00000200001000808000040200200000000,0,13,p.subtreeHelper.6.pred.acc.72.117
8082000080a00000200001004808000040200200000000,0,14,p.context.6.pred.bool.71.77
8082040080a00000200001004808000040200200000000,0,15,m.tree_add_left.4.unfold.pred_inst.16.18
8082040080b00000200001004808000040200200000000,0,16,m.tree_get_left.4.unfold.pred_inst.34.36
8082040080b00000200001004848000040200200000000,0,17,p.context.6.pred.bool.71.85
8082040080b00000200001004848020040200200000000,0,18,p.subtreeHelper.6.pred.bool.72.97
8082040080b00000200001004848020140200200000000,0,19,p.subtreeHelper.6.pred.bool.72.106
8082040080b00000200001004848020140200a00000000,0,20,p.tree.6.pred.pred_inst.73.126
8082040080b00000200001004848020150200a00000000,0,21,p.subtreeHelper.6.pred.acc.72.110
8082040080b00000200001004848020150280a00000000,0,22,p.subtreeHelper.6.pred.bool.72.119
8082040080b0000020000100484a020150280a00000000,0,23,p.context.6.pred.bool.71.90
8082040480b0000020000100484a020150280a00000000,0,24,m.tree_add_right.1.pre.pred_inst.23.25
8082040480b0000020000100684a020150280a00000000,0,25,p.context.6.pred.acc.71.78
8082040480b0000020000100684a220150280a00000000,0,26,p.context.6.pred.acc.71.94
8082042480b0000020000100684a220150280a00000000,0,27,m.tree_add_left.3.fold.pred_inst.21.23
8082042480b0000020000100684a220170280a00000000,0,28,p.subtreeHelper.6.pred.acc.72.109
8082042480b0000020040100684a220170280a00000000,0,29,m.tree_has_left.2.post.pred_inst.60.62
8082042480b0000020040100684a220170281a00000000,0,30,p.tree.6.pred.pred_inst.73.125
8082042480b0000020040100684a221170281a00000000,0,31,p.subtreeHelper.6.pred.acc.72.102
8082042480b0000020050100684a221170281a00000000,0,32,m.tree_has_left.3.fold.pred_inst.62.64
