id,iter,95th,5th,median,mean,stdev,min,max
80000000000000000000000000000000000000000000,2,287483453,287483453,195369444,195369444,130268880.81,103255435,287483453
80000000000000000000000800000000000000000000,2,95975828,95975828,90403528,90403528,7880422.23,84831228,95975828
80000000000000000000000808000000000000000000,2,75552572,75552572,72237760.5,72237760.5,4687851.38,68922949,75552572
8080000000000000000000000808000000000000000000,2,58983211,58983211,55523689,55523689,4892502.93,52064167,58983211
8080000000000000200000000808000000000000000000,2,66002518,66002518,59539064,59539064,9140704.31,53075610,66002518
8080000000000000200000000808000000000200000000,2,57116463,57116463,55733214,55733214,1956209.50,54349965,57116463
8080000000000000200001000808000000000200000000,2,51876615,51876615,52495437.5,52495437.5,875147.17,51876615,53114260
8080000000000000200001000808000040000200000000,2,56968836,56968836,50612677.5,50612677.5,8988965.56,44256519,56968836
8080000080000000200001000808000040000200000000,2,37463866,37463866,39273239.5,39273239.5,2558840.54,37463866,41082613
8080000080800000200001000808000040000200000000,2,39717555,39717555,32202682.5,32202682.5,10627634.61,24687810,39717555
8082000080800000200001000808000040000200000000,2,30530522,30530522,33480211.5,33480211.5,4171490.90,30530522,36429901
8082000080a00000200001000808000040000200000000,2,39425360,39425360,33378606,33378606,8551401.52,27331852,39425360
8082000080a00000200001000808000040200200000000,2,33207334,33207334,35384226.5,35384226.5,3078590.90,33207334,37561119
8082000080a00000200001004808000040200200000000,2,32493445,32493445,30753741,30753741,2460312.99,29014037,32493445
8082040080a00000200001004808000040200200000000,2,21828012,21828012,26363225.5,26363225.5,6413760.44,21828012,30898439
8082040080b00000200001004808000040200200000000,2,27877931,27877931,28383331.5,28383331.5,714744.24,27877931,28888732
8082040080b00000200001004848000040200200000000,2,18760031,18760031,18794133.5,18794133.5,48228.22,18760031,18828236
8082040080b00000200001004848020040200200000000,2,26656524,26656524,23312796.5,23312796.5,4728744.78,19969069,26656524
8082040080b00000200001004848020140200200000000,2,18851117,18851117,17862119.5,17862119.5,1398653.68,16873122,18851117
8082040080b00000200001004848020140200a00000000,2,16912331,16912331,15423573.5,15423573.5,2105421.05,13934816,16912331
8082040080b00000200001004848020150200a00000000,2,13549427,13549427,15256691,15256691,2414435.90,13549427,16963955
8082040080b00000200001004848020150280a00000000,2,21591251,21591251,21910703.5,21910703.5,451774.06,21591251,22230156
8082040080b0000020000100484a020150280a00000000,2,13312774,13312774,15553459,15553459,3168807.12,13312774,17794144
8082040480b0000020000100484a020150280a00000000,2,13136609,13136609,15462685.5,15462685.5,3289568.93,13136609,17788762
8082040480b0000020000100684a020150280a00000000,2,13654241,13654241,15504926.5,15504926.5,2617264.53,13654241,17355612
8082040480b0000020000100684a220150280a00000000,2,18061872,18061872,19779730.5,19779730.5,2429418.79,18061872,21497589
8082042480b0000020000100684a220150280a00000000,2,12041632,12041632,16500614,16500614,6305952.82,12041632,20959596
8082042480b0000020000100684a220170280a00000000,2,16554248,16554248,13752933,13752933,3961657.67,10951618,16554248
8082042480b0000020040100684a220170280a00000000,2,9634754,9634754,10446403,10446403,1147845.02,9634754,11258052
8082042480b0000020040100684a220170281a00000000,2,15981122,15981122,12866225,12866225,4405129.58,9751328,15981122
8082042480b0000020040100684a221170281a00000000,2,15845926,15845926,13739346,13739346,2979154.01,11632766,15845926
8082042480b0000020050100684a221170281a00000000,2,12263382,12263382,12921224,12921224,930329.08,12263382,13579066
8082042480b0100020050100684a221170281a00000000,2,9952061,9952061,9438175.5,9438175.5,726743.84,8924290,9952061
8082042480b0108020050100684a221170281a00000000,2,14298697,14298697,13381368,13381368,1297299.11,12464039,14298697
8082042480b0108020050100684a221570281a00000000,2,11726881,11726881,12574517.5,12574517.5,1198739.03,11726881,13422154
8082042482b0108020050100684a221570281a00000000,2,17629548,17629548,13529776,13529776,5797953.17,9430004,17629548
8082042482b0108020050100684a221578281a00000000,2,10258042,10258042,10220074,10220074,53694.86,10182106,10258042
8082042482b0108020050100684a321578281a00000000,2,13804566,13804566,14429315.5,14429315.5,883529.22,13804566,15054065
8082042482b0108020050500684a321578281a00000000,2,10208855,10208855,10742670,10742670,754928.41,10208855,11276485
8082042482b0108020050500684a32157c281a00000000,2,14179280,14179280,12302469,12302469,2654211.57,10425658,14179280
8082042482b0108020050500684a321d7c281a00000000,2,11254539,11254539,10562149.5,10562149.5,979186.62,9869760,11254539
