stress,iter,median,mean,stdev,min,max
0,3,2960375,19599583,28877780,2893625,52944750
2,3,3185250,19752458,28839198,3019167,53052958
4,3,4606292,24853930,35515933,4092375,65863125
6,3,4980792,23308972,31987952,4701000,60245125
8,3,8319583,26227319,31786257,7435000,62927375
10,3,9915083,28144416,32275136,9108542,65409625
12,3,13238375,32522222,34465541,12014958,72313333
14,3,17802208,37212847,34996463,16223334,77613000
16,3,18488041,37061250,33385498,17092625,75603084
18,3,23312958,42214291,34117292,21730959,81598958
20,3,42977458,62480041,34581486,42054917,102407750
22,3,28151000,47540444,33691958,28025833,86444500
24,3,37244041,56406458,34041783,36264875,95710458
26,3,48523833,69881486,37895901,47484833,113635792
28,3,96791584,118196722,37580738,96208666,161589916
30,3,85879708,103421805,31657715,84418458,139967250
32,3,106794417,125464138,32379640,106745083,162852916
34,3,114554458,131836569,31296265,112992125,167963125
36,3,167307708,183337347,32389490,162088416,220615917
38,3,197179042,216834111,35267415,195773959,257549334
40,3,184715167,205620458,38470120,182129375,250016834
42,3,280138250,297181736,31203563,278211625,333195334
44,3,265149333,284602513,35179154,263446208,325212000
46,3,390295666,407989569,43632893,375982834,457690208
48,3,243555958,266133805,39153728,243500833,311344625
50,3,421887000,440493222,34013573,419841709,479750959
52,3,382426417,404360611,45708616,373753125,456902292
54,3,561815875,579174208,42801043,547779125,627927625
56,3,563909041,581817083,44012967,549581083,631961125
58,3,551401625,576503972,44805791,549876541,628233750
60,3,771669167,787602431,30246993,768652917,822485209
62,3,893836792,903482736,35898923,873392250,943219166
64,3,891686500,904261902,38113515,874025167,947074041
66,3,873299959,897511194,42411499,872750875,946482750
68,3,1091926583,1100400097,35756510,1069641458,1139632250
70,3,1354354792,1376111819,40888128,1350702417,1423278250
72,3,1056864167,1067296917,36663362,1036980625,1108045959
74,3,1392371750,1413423500,36969721,1391787625,1456111125
76,3,1735431000,1743248250,44332627,1703344208,1790969542
78,3,1475408667,1508667903,58052356,1474894709,1575700333
80,3,1799853125,1817450389,32499741,1797543875,1854954167
82,3,1857903125,1888940305,57123879,1854053958,1954863833
84,3,2065055541,2082962888,33883061,2061790875,2122042250
86,3,2108624000,2118688972,32313222,2092606083,2154836834
88,3,1968115458,1991004777,40113410,1967576166,2037322708
90,3,2230825250,2255983680,48278165,2225480750,2311645042
92,3,2821715750,2837958583,35005073,2814025625,2878134375
94,3,2482973875,2501750791,42633519,2471728750,2550549750
96,3,3125343417,3123913319,38155126,3085063250,3161333292
98,3,2861110917,2866743653,37471479,2832407417,2906712625
100,3,3696855250,3707272764,23569886,3690706625,3734256417
102,3,4147849292,4156341000,66472281,4094522625,4226651084
104,3,3711871041,3712380555,6717029,3705932792,3719337834
106,3,3721826292,3712485152,56469414,3651927625,3763701541
108,3,4234049125,4237802791,17738660,4222241375,4257117875
110,3,4359008166,4351690583,22345936,4326603291,4369460292
112,3,5047519458,5035634180,32018890,4999372167,5060010917
114,3,5082759000,5126635819,101445669,5054513917,5242634542
116,3,5957270375,5970667125,79424939,5898792500,6055938500
118,3,5245863041,5240649138,52986183,5185248750,5290835625
120,3,5362445458,5372333680,39397275,5338822459,5415733125
122,3,5991230125,5992555680,4013509,5989372625,5997064292
124,3,5614608375,5615259249,14630341,5600965208,5630204166
126,3,6014083041,6045590805,75142536,5991331500,6131357875
128,3,7958477833,7951653680,22945454,7926070292,7970412916
