"stress","iter","median","mean","stdev","min","max","only_framing","unverified","dynamic"
8,3,0.004386366,5383215,1799207,4303076,7460205,-0.00685601252253651,NA,NA
16,3,0.007677026,8055721,1975528,6296953,10193184,-0.00685610430012316,NA,NA
24,3,0.004746422,4774271,1989173,2799168,6777223,-0.00685620993406044,NA,NA
32,3,0.003675704,3331937,1350339,1842941,4477166,-0.00685632456633113,NA,NA
40,3,0.0041972,3486406,1375811,1900588,4361431,-0.00685644588970141,NA,NA
48,3,0.002301567,3027903,1277893,2278715,4503429,-0.00685657254524035,NA,NA
56,3,0.003061427,3063675,328806,2735998,3393600,-0.00685670363501193,NA,NA
64,3,0.004054661,4395015,1077461,3528833,5601553,-0.00685683852081638,NA,NA
72,3,0.00379556,3830773,101743,3751315,3945446,-0.00685697672547215,NA,NA
80,3,0.004542933,4631436,169820,4524147,4827228,-0.0068571178785916,NA,NA
88,3,0.005762854,5530996,515999,4939740,5890396,-0.00685726168428375,NA,NA
96,3,0.00600225,6025240,122613,5915749,6157721,-0.00685740790070415,NA,NA
104,3,0.006543508,6622637,144156,6535375,6789028,-0.00685755632647031,NA,NA
112,3,0.0078235,8123915,658825,7668844,8879403,-0.00685770679128198,NA,NA
120,3,0.008568519,8578793,299846,8284216,8883644,-0.00685785914923494,NA,NA
128,3,0.010730584,10696620,68052,10618271,10741007,-0.00685801327392554,NA,NA
136,3,0.010121477,10035764,159809,9851383,10134432,-0.00685816905478373,NA,NA
144,3,0.011884705,11874369,108872,11760698,11977705,-0.00685832639427173,NA,NA
152,3,0.013016388,12939310,191739,12721027,13080517,-0.00685848520570711,NA,NA
160,3,0.013765219,13772962,206619,13570324,13983345,-0.0068586454115453,NA,NA
168,3,0.013774272,13751365,969350,12770765,14709059,-0.00685880694200642,NA,NA
176,3,0.017519594,17674513,400379,17374741,18129205,-0.00685896973396426,NA,NA
184,3,0.017434555,17703253,611667,17271928,18403277,-0.00685913373003757,NA,NA
192,3,0.020402827,20076945,624123,19357335,20470673,-0.00685929887783973,NA,NA
200,3,0.020600727,20528116,275363,20223723,20759898,-0.00685946512935361,NA,NA
208,3,0.021141205,21018343,402131,20569113,21344712,-0.0068596324404067,NA,NA
216,3,0.023128171,23206521,526026,22724065,23767328,-0.00685980077022697,NA,NA
224,3,0.023551914,23658608,240523,23489888,23934023,-0.00685997008106469,NA,NA
232,3,0.025905286,26354608,1494536,25136280,28022260,-0.00686014033786836,NA,NA
240,3,0.030571532,30307193,751919,29458800,30891248,-0.00686031150800527,NA,NA
248,3,0.028980665,29645556,1682097,28397529,31558474,-0.00686048356101952,NA,NA
256,3,0.031952949,32191008,552153,31797818,32822258,-0.00686065646842114,NA,NA
264,3,0.03478552,34641981,470684,34116240,35024185,-0.00686083020350169,NA,NA
272,3,0.037375102,37002841,1001900,35868096,37765327,-0.00686100474117217,NA,NA
280,3,0.038076872,38098083,647039,37461910,38755468,-0.00686118005782011,NA,NA
288,3,0.041453931,40917843,1045017,39713573,41586026,-0.00686135613118284,NA,NA
296,3,0.042312665,42295022,195645,42091154,42481249,-0.00686153294023503,NA,NA
304,3,0.046209304,46168997,867381,45282165,47015522,-0.00686171046508826,NA,NA
312,3,0.047151311,48076507,2242626,46444498,50633713,-0.00686188868690126,NA,NA
320,3,0.051555009,51841083,1434287,50571391,53396849,-0.00686206758779929,NA,NA
328,3,0.056782381,56710622,513749,56164766,57184720,-0.00686224715080165,NA,NA
336,3,0.055846449,55699243,580563,55059247,56192034,-0.00686242735975621,NA,NA
344,3,0.056326388,58303266,4050416,55620896,62962514,-0.0068626081992802,NA,NA
352,3,0.063638161,64653712,2062778,63295598,67027379,-0.00686278965470655,NA,NA
360,3,0.065641088,66645062,3419035,63840415,70453684,-0.00686297171203504,NA,NA
368,3,0.067331445,66300034,2651111,63288225,68280433,-0.00686315435788783,NA,NA
376,3,0.081157545,77694498,12070491,64271001,87654948,-0.00686333757946889,NA,NA
384,3,0.071555118,74805458,6021421,71107660,81753596,-0.0068635213645268,NA,NA
392,3,0.07707506,77013584,161586,76830283,77135411,-0.00686370570132075,NA,NA
400,3,0.079598587,79644063,2956985,76710078,82623524,-0.00686389057858923,NA,NA
408,3,0.077689263,77696065,616258,77083236,78315696,-0.00686407598552131,NA,NA
416,3,0.077868072,77768541,1500848,76220404,79217147,-0.00686426191173007,NA,NA
424,3,0.084065271,84020622,966375,83032697,84963900,-0.00686444834722818,NA,NA
432,3,0.087990977,89033893,1869165,87918884,91191818,-0.00686463528240526,NA,NA
440,3,0.087746103,88284112,1357330,87278262,89827972,-0.00686482270800693,NA,NA
448,3,0.090976431,90097633,1555328,88301830,91014638,-0.00686501061511538,NA,NA
456,3,0.103564651,103386600,2025235,101278219,105316932,-0.00686519899513135,NA,NA
464,3,0.103835249,104125320,606294,103718553,104822160,-0.00686538783975737,NA,NA
472,3,0.111953025,110654191,2656213,107598482,112411067,-0.00686557714098211,NA,NA
