stress,iter,median,mean,stdev,min,max
0,3,4315435,5241776,2276604,3574372,7835521
2,3,2032166,3231355,2138148,1961956,5699944
4,3,5315571,6266794,1692895,5263462,8221350
6,3,5512048,4907580,1079342,3661448,5549246
8,3,10377782,10449501,3667850,6818037,14152686
10,3,10261511,10873349,1098309,10217226,12141310
12,3,12620940,12934547,914212,12218411,13964290
14,3,18024629,17893850,310480,17539374,18117547
16,3,18844312,19010308,467181,18648793,19537820
18,3,25326103,25400375,308120,25136179,25738843
20,3,50543659,50507562,464727,50025839,50953189
22,3,33030471,32969720,184384,32762626,33116064
24,3,44388044,44540113,1171984,43451586,45780710
26,3,56027279,56069259,242900,55850085,56330414
28,3,117018395,116736710,1046017,115578694,117613042
30,3,103426766,104121941,1339749,103272668,105666390
32,3,128568143,129454586,2290267,127740034,132055582
34,3,136721806,136958676,1011080,136087059,138067163
36,3,195289319,195301974,845317,194463056,196153549
38,3,231459135,231803368,1287047,230723440,233227531
40,3,217904584,220347546,4334493,217785936,225352119
42,3,330372935,329488569,2248994,326931819,331160955
44,3,306447136,306881514,878829,306304457,307892951
46,3,465061061,464320235,1653651,462425701,465473943
48,3,290032710,290227798,1537817,288796834,291853850
50,3,501877131,501414647,1994905,499229121,503137690
52,3,437213081,436063425,1999823,433754235,437222960
54,3,648917621,649387225,6852466,642781640,656462415
56,3,650625860,650947395,1964544,649163453,653052873
58,3,655755280,652312383,9409893,641665918,659515953
60,3,904472904,902840936,9496069,892634646,911415258
62,3,1037185196,1036940533,10395750,1026424611,1047211792
64,3,1049777642,1049724132,13804407,1035893048,1063501708
66,3,1044670524,1047505687,13028404,1036128321,1061718218
68,3,1256515692,1269506175,24987170,1253690114,1298312719
70,3,1584761809,1587269607,14143344,1574547906,1602499106
72,3,1228753186,1232558458,14382468,1220461261,1248460928
74,3,1620889118,1633865044,25677893,1617264629,1663441386
76,3,2006253439,2003270183,8914203,1993246957,2010310153
78,3,1757416690,1756423229,5671231,1750320909,1761532090
80,3,2123760830,2114872585,16045053,2096350357,2124506568
82,3,2206678942,2183007679,66976119,2107410350,2234933746
84,3,2316130607,2316589321,7049573,2309780307,2323857049
86,3,2386748315,2384207054,25556421,2357474940,2408397909
88,3,2226683736,2225158081,5503645,2219052558,2229737949
90,3,2545920722,2549767421,40906568,2510920077,2592461465
92,3,3189254273,3175918318,26157320,3145780794,3192719888
94,3,2807648260,2816226249,27188286,2794361535,2846668953
96,3,3530233041,3512847216,42119283,3464818140,3543490469
98,3,3222384516,3227428565,32969825,3197271428,3262629751
100,3,4100392369,4120989078,43761966,4091325683,4171249182
102,3,4660305304,4664348484,10984630,4655958465,4676781685
104,3,4186978671,4183314763,41513463,4140090788,4222874832
106,3,4183676177,4175321443,27605256,4144503900,4197784254
108,3,4794082429,4772862456,40814404,4725809361,4798695580
110,3,4808950559,4801783288,18257962,4781029159,4815370147
112,3,5638093283,5628869356,18770708,5607271255,5641243530
114,3,5809096643,5788191186,59861114,5720680817,5834796100
116,3,6720351976,6716948749,8760722,6706997058,6723497214
118,3,5914045057,5909118860,11175389,5896326736,5916984787
120,3,6079215259,6094425869,47150271,6056758378,6147303971
122,3,6754256714,6771006267,82225329,6698445304,6860316785
124,3,6306062320,6343347133,76971203,6292118601,6431860480
126,3,6837421025,6873752275,101857778,6795041499,6988794302
128,3,10049180972,10146696848,319407240,9887414244,10503495328
