stress,iter,median,mean,stdev,min,max
0,3,3121500,21424041,32027905,2744584,58406041
2,3,2882125,19643458,29138500,2758625,53289625
4,3,4358166,20467305,29086823,2999042,54044708
6,3,2888792,20902042,31324112,2745417,57071917
8,3,2929041,20080819,29866699,2745666,54567750
10,3,2584042,18068930,26873675,2522792,49099958
12,3,2907209,20177041,30032108,2768875,54855041
14,3,3008791,20414388,30364395,2758500,55475875
16,3,2730333,18160847,26833603,2606667,49145541
18,3,2903916,18529124,27323620,2604208,50079250
20,3,2829167,20097152,29976676,2751083,54711208
22,3,2934625,21502097,32284665,2790542,58781125
24,3,2944291,20708722,30946529,2739375,56442500
26,3,2853875,20262194,30258713,2730833,55201875
28,3,2805250,19315486,28692497,2694541,52446667
30,3,2941125,20339861,30297079,2754708,55323750
32,3,2810125,20144597,30039018,2793000,54830667
34,3,2949666,19711694,29196588,2760583,53424834
36,3,3061041,20142999,29806771,2807375,54560583
38,3,2952667,19720847,29208292,2762375,53447500
40,3,2895291,18509166,27125544,2801208,49831000
42,3,2957583,19814652,29343166,2789292,53697083
44,3,3191084,21797250,32390389,3002375,59198291
46,3,3075750,21672875,32357705,2906667,59036208
48,3,2922417,21910569,32995674,2798666,60010625
50,3,3006250,20488319,30419224,2845416,55613292
52,3,3152542,22044416,33034707,2791666,60189042
54,3,2879125,20662625,30855454,2817334,56291417
56,3,3007875,19647138,28925047,2886708,53046833
58,3,3026375,20922125,31193034,2799500,56940500
60,3,3111375,21026347,31303885,2795167,57172500
62,3,2925458,19500611,28802226,2817875,52758500
64,3,2798666,17235597,25180239,2597125,46311000
66,3,3027250,18840694,27505059,2894125,50600708
68,3,2896542,21085597,31540640,2854666,57505583
70,3,2887292,20261486,30108541,2869333,55027834
72,3,3034625,20946750,31188062,2846167,56959459
74,3,2885125,16633139,24040274,2622250,44392042
76,3,3054292,20793764,30886490,2868750,56458250
78,3,3100250,21739319,32468814,2886833,59230875
80,3,2950208,20356583,30227677,2859084,55260459
82,3,2931500,17467791,25420685,2651250,46820625
84,3,3135083,18325250,26548978,2859709,48980958
86,3,3029292,19738972,29060380,2892708,53294917
88,3,2938750,20879528,31107037,2901000,56798834
90,3,3150333,22658180,33913294,3006416,61817792
92,3,2932250,20056347,29683011,2905459,54331333
94,3,3391417,21989930,32550564,3002959,59575416
96,3,3077667,19867903,29230878,2905375,53620667
98,3,3247875,21786138,32374652,2941791,59168750
100,3,3289459,21462722,31736165,2990625,58108083
102,3,3121959,20808292,30780571,2952417,56350500
104,3,2937875,19922680,29436806,2916792,53913375
106,3,3020708,21250444,31636842,2949125,57781500
108,3,3037208,19154180,27995415,2944875,51480458
110,3,3036166,20756791,30779485,2936375,56297833
112,3,3136125,18856541,27345738,3000916,50432584
114,3,3088500,20674292,30580772,2948542,55985834
116,3,3422916,21684611,31970845,3030250,58600667
118,3,3115333,19835819,29046655,3016167,53375959
120,3,3059542,20424555,30222876,2891333,55322792
122,3,2963125,18120958,26285175,2927292,48472458
124,3,3175833,19715444,28783447,3018917,52951583
126,3,3239000,21013403,30954727,3044542,56756667
128,3,3099583,20191277,29687979,3002292,54471958
