stress,iter,median,mean,stdev,min,max
0,3,13123433,16674497,11935799,6917217,29982842
8,3,4386366,5383215,1799207,4303076,7460205
16,3,7677026,8055721,1975528,6296953,10193184
24,3,4746422,4774271,1989173,2799168,6777223
32,3,3675704,3331937,1350339,1842941,4477166
40,3,4197200,3486406,1375811,1900588,4361431
48,3,2301567,3027903,1277893,2278715,4503429
56,3,3061427,3063675,328806,2735998,3393600
64,3,4054661,4395015,1077461,3528833,5601553
72,3,3795560,3830773,101743,3751315,3945446
80,3,4542933,4631436,169820,4524147,4827228
88,3,5762854,5530996,515999,4939740,5890396
96,3,6002250,6025240,122613,5915749,6157721
104,3,6543508,6622637,144156,6535375,6789028
112,3,7823500,8123915,658825,7668844,8879403
120,3,8568519,8578793,299846,8284216,8883644
128,3,10730584,10696620,68052,10618271,10741007
136,3,10121477,10035764,159809,9851383,10134432
144,3,11884705,11874369,108872,11760698,11977705
152,3,13016388,12939310,191739,12721027,13080517
160,3,13765219,13772962,206619,13570324,13983345
168,3,13774272,13751365,969350,12770765,14709059
176,3,17519594,17674513,400379,17374741,18129205
184,3,17434555,17703253,611667,17271928,18403277
192,3,20402827,20076945,624123,19357335,20470673
200,3,20600727,20528116,275363,20223723,20759898
208,3,21141205,21018343,402131,20569113,21344712
216,3,23128171,23206521,526026,22724065,23767328
224,3,23551914,23658608,240523,23489888,23934023
232,3,25905286,26354608,1494536,25136280,28022260
240,3,30571532,30307193,751919,29458800,30891248
248,3,28980665,29645556,1682097,28397529,31558474
256,3,31952949,32191008,552153,31797818,32822258
264,3,34785520,34641981,470684,34116240,35024185
272,3,37375102,37002841,1001900,35868096,37765327
280,3,38076872,38098083,647039,37461910,38755468
288,3,41453931,40917843,1045017,39713573,41586026
296,3,42312665,42295022,195645,42091154,42481249
304,3,46209304,46168997,867381,45282165,47015522
312,3,47151311,48076507,2242626,46444498,50633713
320,3,51555009,51841083,1434287,50571391,53396849
328,3,56782381,56710622,513749,56164766,57184720
336,3,55846449,55699243,580563,55059247,56192034
344,3,56326388,58303266,4050416,55620896,62962514
352,3,63638161,64653712,2062778,63295598,67027379
360,3,65641088,66645062,3419035,63840415,70453684
368,3,67331445,66300034,2651111,63288225,68280433
376,3,81157545,77694498,12070491,64271001,87654948
384,3,71555118,74805458,6021421,71107660,81753596
392,3,77075060,77013584,161586,76830283,77135411
400,3,79598587,79644063,2956985,76710078,82623524
408,3,77689263,77696065,616258,77083236,78315696
416,3,77868072,77768541,1500848,76220404,79217147
424,3,84065271,84020622,966375,83032697,84963900
432,3,87990977,89033893,1869165,87918884,91191818
440,3,87746103,88284112,1357330,87278262,89827972
448,3,90976431,90097633,1555328,88301830,91014638
456,3,103564651,103386600,2025235,101278219,105316932
464,3,103835249,104125320,606294,103718553,104822160
472,3,111953025,110654191,2656213,107598482,112411067
480,3,113342622,113035044,694924,112239408,113523102
488,3,109989606,109602524,882779,108592328,110225638
496,3,122541397,123305197,2412561,121366988,126007207
504,3,121676978,121110460,986407,119971460,121682942
512,3,115925019,116480904,1307912,115542756,117974939
