stress,iter,median,mean,stdev,min,max
0,3,4637177,5609064,1896661,4395331,7794684
8,3,6575988,6415730,2313544,4026224,8644979
16,3,6686891,6074316,2364992,3463305,8072753
24,3,3731952,3098956,1246258,1663241,3901677
32,3,1361070,2038762,1250603,1273272,3481945
40,3,1887398,1948368,693124,1287743,2669963
48,3,3474926,3461812,109948,3345895,3564615
56,3,3593045,2920283,1316440,1403411,3764393
64,3,2046626,2330084,1055436,1445322,3498305
72,3,1403099,1436756,121367,1335770,1571401
80,3,1318630,1324298,38372,1289075,1365189
88,3,1875885,1860003,266125,1586292,2117832
96,3,1274968,1297032,92837,1217215,1398914
104,3,1289232,1336154,170540,1193988,1525244
112,3,1492459,1704301,401131,1453504,2166942
120,3,1281283,1328382,145753,1212002,1491861
128,3,2052171,2196528,388051,1901345,2636069
136,3,1612011,1640721,86462,1572267,1737887
144,3,1562608,3539101,3594759,1366272,7688424
152,3,1406645,1423201,57026,1376285,1486674
160,3,1587120,1565227,93469,1462755,1645807
168,3,1559399,2067684,959121,1469684,3173970
176,3,1735074,1784087,220401,1592318,2024870
184,3,1594549,1651945,102927,1590515,1770773
192,3,2105493,2145023,96923,2074113,2255465
200,3,1916374,1965074,296609,1695829,2283021
208,3,1972322,2419463,811719,1929636,3356432
216,3,1929055,2055971,405140,1729483,2509375
224,3,2340637,2292163,366917,1903419,2632435
232,3,2074593,2046085,54682,1983039,2080624
240,3,2130314,2109713,63891,2038063,2160762
248,3,2638236,2842797,478881,2500170,3389987
256,3,2292525,2383698,343299,2095188,2763381
264,3,2546130,2527988,97438,2422754,2615081
272,3,2443913,2446241,38629,2408829,2485983
280,3,2478260,2557601,242707,2364493,2830050
288,3,2344244,2323982,87346,2228286,2399417
296,3,2610665,2574348,64674,2499678,2612703
304,3,2738961,2695211,90823,2590793,2755879
312,3,2674511,2691729,55704,2646667,2754011
320,3,2871752,5097915,4034503,2666936,9755058
328,3,3089817,3139008,194702,2973619,3353589
336,3,3446718,3873630,1039633,3115413,5058759
344,3,3069376,3265751,440785,2957283,3770595
352,3,3146369,3099522,123578,2959370,3192829
360,3,3201653,3202075,133525,3068761,3335811
368,3,3137044,3127030,19995,3104006,3140040
376,3,3512394,5015983,2740775,3356084,8179471
384,3,3448547,3410335,165060,3229520,3552938
392,3,3635753,3598512,119942,3464366,3695417
400,3,3588430,4001208,722008,3580297,4834899
408,3,3604780,3642773,99680,3567677,3755863
416,3,3927500,3881538,132985,3731668,3985446
424,3,3851990,3878891,142189,3752074,4032609
432,3,4027195,3988690,75968,3901179,4037697
440,3,4154055,4151168,27215,4122624,4176825
448,3,4672842,4804806,590203,4291755,5449821
456,3,4609796,4553145,222802,4307486,4742153
464,3,4515390,4616046,244132,4438335,4894414
472,3,4593745,4595118,106726,4489085,4702524
480,3,4705592,4693112,43014,4645238,4728507
488,3,4831810,5499994,1273969,4699121,6969051
496,3,5119588,5106195,27658,5074390,5124609
504,3,5355910,5508141,719287,4877155,6291359
512,3,4908385,5097909,410217,4816720,5568622
