stress,iter,median,mean,stdev,min,max
0,3,3066583,21865013,32666234,2943792,59584666
2,3,4072583,20495027,28752531,3717541,53694958
4,3,8371209,26525375,31911175,7833000,63371916
6,3,17155500,37387361,36234957,15786167,79220417
8,3,35622625,57161666,38371391,34398875,101463500
10,3,60841625,80957194,35758553,59786834,122243125
12,3,103366333,125016277,37748783,103078000,168604500
14,3,173479542,195051486,40625179,169762625,241912292
16,3,252515125,273140499,36379387,251760833,315145541
18,3,387329917,409185736,41206636,383511333,456715958
20,3,557428292,568533430,28979304,546749083,601422916
22,3,748356583,763547125,41327183,731964958,810319834
24,3,958622250,974865166,28870332,957775083,1008198166
26,3,1286390834,1301413570,44850039,1266003334,1351846542
28,3,1544982125,1555975889,27773099,1535382583,1587562959
30,3,1955644291,1983510819,56809842,1946015000,2048873167
32,3,2419747333,2444205014,43682510,2418230084,2494637625
34,3,2890886375,2892280458,28854768,2864148000,2921807000
36,3,3395888125,3397993249,49790283,3349288916,3448802708
38,3,4115286292,4133615180,60483625,4084416041,4201143208
40,3,4774631375,4778999291,8621383,4773436041,4788930458
42,3,5588939667,5610638389,50949956,5574129834,5668845666
44,3,6472756000,6486559236,42793016,6452371375,6534550333
46,3,7510671333,7518868639,25866011,7498094542,7547840042
48,3,8691952750,8685869014,17923906,8665695084,8699959208
50,3,9775387834,9819251750,103841954,9744539416,9937828000
52,3,11171216750,11185055944,56303072,11136962875,11246988208
54,3,12435966583,12440775152,30199724,12413268209,12473090666
56,3,14038334416,14034957708,43709079,13989658208,14076880500
58,3,15385631250,15399250264,32842760,15375407875,15436711667
60,3,17388826750,17381788847,61587110,17316985125,17439554667
62,3,19470079959,19461898361,30052280,19428602500,19487012625
64,3,21221187041,21195605430,99846854,21085456625,21280172625
66,3,23560884042,23565115930,71694400,23495631208,23638832541
68,3,26315636333,26280562152,110183051,26157111625,26368938500
70,3,28499942166,28464856291,117418161,28333894834,28560731875
72,3,31201663458,31101032500,178720849,30894684333,31206749709
74,3,34560825583,34533780111,75751334,34448218000,34592296750
76,3,37366783500,37402223625,177782823,37244830209,37595057167
78,3,40442082917,40417084055,87282294,40320029958,40489139292
80,3,43309568250,43271749347,154799582,43101544791,43404135000
82,3,46619413917,46643413805,152429847,46504407583,46806419917
84,3,50878603833,50828657291,141042658,50669437833,50937930208
86,3,54875632542,54888461083,291344090,54603743167,55186007541
88,3,59299497417,59303571902,28736485,59277090125,59334128166
90,3,63540079458,63543295805,25078894,63519980250,63569827708
92,3,68280497125,68266870958,167569777,68092904125,68427211625
94,3,72372518084,72425377445,160567541,72297903417,72605710834
96,3,77722441125,77770393139,171193871,77628288458,77960449834
98,3,83443465125,83345276555,232021228,83080304750,83512059792
100,3,89255441167,89181775056,330092680,88821072959,89468811042
102,3,95791893750,95652673111,247773164,95366603208,95799522375
104,3,100674535000,100645081791,122351816,100510691708,100750018667
106,3,107113376041,107044872500,222799725,106795864667,107225376792
108,3,113551900084,113258879569,597194986,112571771416,113652967208
110,3,121169409458,121187848194,147114809,121050821958,121343313167
112,3,127171480500,127250312778,154391518,127151252042,127428205792
114,3,136107688167,136178544666,354558307,135864765083,136563180750
116,3,143643713292,143926421222,503548917,143627753958,144507796417
118,3,149740245750,149545804014,581582716,148891912000,150005254292
120,3,159520942333,159465982833,193848290,159250588875,159626417292
122,3,168038535583,167894791708,531764688,167305931417,168339908125
124,3,177039400000,177094983236,407599154,176718028083,177527521625
126,3,186474076833,186512573791,178549377,186356413125,186707231417
128,3,195694548625,195780212500,368538122,195462050500,196184038375
