stress,iter,median,mean,stdev,min,max
0,3,7043421,6429631,2205462,3982290,8263182
2,3,6629790,5797581,2035155,3478209,7284745
4,3,8687664,10808581,3941073,8382159,15355922
6,3,16344437,16672049,910568,15970618,17701094
8,3,40428891,41050353,1298987,40178837,42543331
10,3,70328489,69974605,674010,69197360,70397967
12,3,120651833,120558267,540855,119976734,121046236
14,3,200628664,201243051,1070717,200621088,202479402
16,3,299650568,297953921,3558127,293865025,300346172
18,3,449698109,449568456,1091932,448417486,450589774
20,3,645014408,647356168,4570828,644430758,652623339
22,3,884522317,882922535,8712527,873520979,890724311
24,3,1135333176,1128766449,11525527,1115458298,1135507873
26,3,1531556545,1522929180,22614796,1497270581,1539960414
28,3,1820383199,1819177558,11288222,1807334908,1829814569
30,3,2317636049,2321963536,9985180,2314872094,2333382466
32,3,2814157463,2829805149,30061135,2810795537,2864462447
34,3,3414951318,3406964295,21417404,3382701082,3423240486
36,3,3996217905,3998522589,7680229,3992258581,4007091281
38,3,4688734037,4685039963,33329883,4650016934,4716368920
40,3,5420852388,5415790572,9812941,5404480294,5422039034
42,3,6405371369,6398373084,18047524,6377874497,6411873388
44,3,7397935221,7394399342,16796550,7376116341,7409146465
46,3,8606797426,8588189155,54283829,8527048418,8630721623
48,3,9929531544,9925732297,21926768,9902154172,9945511177
50,3,11277885656,11274375974,42158692,11230572151,11314670116
52,3,12844874987,12835779359,112451748,12719056022,12943407068
54,3,14286368698,14310276357,47934754,14278997577,14365462796
56,3,16291000753,16256055068,71151651,16174187685,16302976767
58,3,19714145726,19473243387,759433103,18622577738,2008300669860,3,19338957946,19325348497,72728643,19246776491,19390311055
62,3,21662982477,21658400217,9209778,21647798119,21664420056
64,3,23545402289,23563393083,31659944,23544827629,23599949333
66,3,26147309664,26120836448,106864171,26003223944,26211975738
68,3,29185406066,29189383419,10776438,29181160969,29201583223
70,3,31595202478,31602750022,193157458,31413476961,31799570627
72,3,34705955240,34719589989,71227861,34656165079,34796649648
74,3,38250074135,38269644173,63973826,38217741182,38341117203
76,3,41669607991,41773899693,194657581,41653610036,41998481054
78,3,44997930159,45035930759,85269359,44976268301,45133593817
80,3,48301279461,48329567758,154371668,48191296549,48496127264
82,3,52464388129,52379317967,221303522,52128102389,52545463383
84,3,56901746901,56891535119,22884223,56865322895,56907535562
86,3,61124810508,61195135255,136979873,61107601629,61352993628
88,3,66514209107,66544334205,383419307,66176866071,66941927438
90,3,71179598983,71221929407,148559200,71099129564,71387059676
92,3,76600219088,76508985835,167335663,76315861262,76610877157
94,3,81364528958,81312109875,475699760,80812371622,81759429047
96,3,87286103641,87177020463,514946089,86616272276,87628685472
98,3,93722289497,93631999406,523856770,93068866243,94104842480
100,3,100150075625,100008967480,302181931,99662043568,100214783247
102,3,106757084965,106720769258,563053302,106140437145,107264785664
104,3,112829765020,112792345262,411268170,112363645958,113183624809
106,3,120243300090,120123663237,579125894,119494062336,120633627287
108,3,126781204482,126574237152,523179656,125979235079,126962271897
110,3,136339889966,136003886830,678716696,135222710920,136449059605
112,3,142811471558,143134566380,927074955,142412272587,144179954996
114,3,152798002848,152718761828,494540569,152189385236,153168897401
116,3,161539307533,161672807495,763872349,160984485105,162494629849
118,3,167876023839,168206157766,666650289,167768994458,168973455003
120,3,178122348257,178206148608,211653016,178049226941,178446870627
122,3,188968750582,188827081128,600038933,188168884464,189343608340
124,3,200667677956,201401792308,1480649051,200431640188,203106058781
126,3,209555775707,209672260865,212739526,209543202851,209917804037
128,3,220151463259,220091450824,308702391,219757148621,220365740593
