stress,iter,median,mean,stdev,min,max
0,3,3796208,13266861,17818774,2183250,33821125
2,3,2770209,12012972,16206573,2542458,30726250
4,3,2691041,15288722,21950506,2540292,40634834
6,3,2876334,20229208,30120747,2801666,55009625
8,3,2727750,17484541,25778312,2475458,47250416
10,3,2936625,18127972,26416790,2815916,48631375
12,3,2898417,19534736,28957998,2733375,52972417
14,3,2928709,20193069,30033867,2777417,54873083
16,3,2877500,21759055,32785253,2783500,59616167
18,3,2947958,20694236,30909953,2748959,56385791
20,3,2910042,20273069,30206859,2756333,55152833
22,3,3112916,21417263,31964978,2812041,58326833
24,3,2900292,16585389,24026527,2527875,44328000
26,3,2907500,22099430,33346675,2786000,60604791
28,3,2924750,18838069,27675373,2794708,50794750
30,3,3219458,21327972,31748418,2777458,57987000
32,3,4185583,20853208,29908983,2991792,55382250
34,3,2726000,16936041,24749038,2568500,45513625
36,3,3219542,20825402,30861625,2796166,56460500
38,3,2980417,18967972,27835359,2814167,51109334
40,3,2909625,20102305,29859316,2816459,54580833
42,3,3060000,20729264,30823788,2806584,56321209
44,3,2993500,18726138,27411691,2806666,50378250
46,3,2956250,19113430,28130819,2788084,51595958
48,3,2918959,19715597,29214934,2777833,53450000
50,3,2930500,19623819,29035872,2789500,53151459
52,3,2914583,19388861,28640186,2792375,52459625
54,3,2761167,17736278,26100960,2572792,47874875
56,3,3156041,21088916,31350565,2821791,57288917
58,3,3101875,20018027,29587043,2770541,54181667
60,3,2939708,20658361,30837201,2769417,56265958
62,3,2949834,21000167,31273223,2939292,57111375
64,3,3236625,19349541,28373954,2700500,52111500
66,3,2934542,20714750,30869576,2849875,56359833
68,3,2946083,20123638,29816868,2871667,54553166
70,3,3278166,21536041,31983568,2863250,58466708
72,3,3049667,20077597,29689539,2823250,54359875
74,3,2788250,16463930,23789743,2669667,43933875
76,3,2911291,19427763,28726024,2774375,52597625
78,3,2941291,19296625,28373710,2888834,52059750
80,3,3014083,20298402,30097098,2829750,55051375
82,3,3122875,21630194,32312227,2826959,58940750
84,3,3060458,19432916,28451800,2952125,52286167
86,3,3180208,20608014,30506690,2810375,55833459
88,3,2937625,20411388,30348587,2841666,55454875
90,3,4282292,20673166,29492024,3017416,54719792
92,3,3058458,21288486,31610306,3018084,57788917
94,3,2609083,16603847,24240869,2607667,44594792
96,3,3260333,21603097,32149323,2823875,58725083
98,3,3257333,21953347,32734572,2851459,59751250
100,3,2952750,20047763,29764549,2773791,54416750
102,3,3058375,20791833,30861688,2889416,56427708
104,3,3020625,20635847,30599956,2917333,55969583
106,3,3082167,20299292,29970195,2909959,54905750
108,3,2976250,20784236,30916424,2893042,56483416
110,3,2982708,20712486,30724213,2965000,56189750
112,3,2963917,19795375,29181379,2931084,53491125
114,3,3034417,21040847,31312951,2890292,57197833
116,3,2943084,19295889,28379838,2878500,52066083
118,3,3117208,20531250,30334977,2917667,55558875
120,3,2990292,16935819,24439077,2662167,45155000
122,3,3033083,20521499,30407886,2898000,55633416
124,3,3062917,19531708,28665844,2900166,52632041
126,3,3022167,20850597,30939233,2953500,56576125
128,3,2955750,20240764,29979486,2908459,54858083
