stress,iter,median,mean,stdev,min,max
0,3,3497649,8454445,8868528,3172468,18693218
8,3,3696544,3571027,342413,3183567,3832971
16,3,3600495,3992798,1025279,3221597,5156303
24,3,4558734,4468941,255702,4180453,4667636
32,3,2939490,2934088,36100,2895591,2967184
40,3,3710306,3722618,21919,3709623,3747926
48,3,7363198,6512013,1495595,4785107,7387735
56,3,6029421,6009133,41759,5961106,6036873
64,3,7443397,7441568,127229,7313434,7567873
72,3,9254813,9189014,165798,9000416,9311813
80,3,10589112,10575085,48351,10521272,10614873
88,3,12685386,12790172,209109,12654173,13030958
96,3,14876691,14929195,98307,14868287,15042607
104,3,17307057,17657024,725359,17173002,18491013
112,3,19890001,19851298,226793,19607644,20056251
120,3,22063381,22227480,370823,21967019,22652040
128,3,24945727,24949127,127789,24823071,25078583
136,3,28094577,28105987,116398,27995714,28227670
144,3,31531052,31472125,169305,31281230,31604093
152,3,34933121,34909703,262032,34636748,35159241
160,3,37850521,37799147,295975,37480848,38066073
168,3,41632773,41586660,107658,41463626,41663581
176,3,45046653,45011458,432859,44562075,45425646
184,3,49586646,49598104,420305,49183646,50024022
192,3,53292401,53155638,332557,52776506,53398008
200,3,58393799,58529390,1985882,56614778,60579593
208,3,62937688,62733059,1119905,61524950,63736540
216,3,67220503,66685315,955922,65581678,67253765
224,3,71292509,70909945,942507,69836306,71601021
232,3,76060018,76058407,689819,75367784,76747421
240,3,79837935,80069765,618860,79600292,80771069
248,3,85713180,86415959,1297240,85621746,87912953
256,3,90708088,90948742,860202,90234496,91903642
264,3,95630071,96033644,936891,95366172,97104691
272,3,101706967,102086281,1128322,101196493,103355384
280,3,108120249,108313572,978797,107445861,109374606
288,3,112798520,113148872,1143979,112221040,114427058
296,3,120060664,120380759,1191669,119381829,121699786
304,3,127527193,127472776,598203,126849224,128041913
312,3,131995221,132644464,1777081,131283298,134654874
320,3,139133223,139489779,963958,138754894,140581221
328,3,144646253,145112842,1243478,144170144,146522130
336,3,154521707,155080975,1018544,154464591,156256627
344,3,161263130,161782287,1156978,160975818,163107913
352,3,166701139,166576317,1361083,165157122,167870690
360,3,174731591,175051088,682940,174586459,175835216
368,3,180960776,181612298,1148072,180938206,182937914
376,3,189952081,189078998,2016783,186772775,190512140
384,3,197369145,197677072,1524369,196330174,199331899
392,3,201861675,202470857,1806632,201047561,204503335
400,3,212317742,213578747,2225950,212269597,216148903
408,3,216145188,216678810,1443889,215577684,218313559
416,3,231581616,231263694,698985,230462257,231747209
424,3,237578860,237691072,1485522,236264837,239229519
432,3,244299879,244003997,844932,243050916,244661198
440,3,253889047,255044812,2048192,253835728,257409661
448,3,269085047,268886614,433851,268389032,269185765
456,3,273183633,272964203,890293,271984712,273724265
464,3,284229451,284833105,2081893,283119744,287150120
472,3,294518856,294986017,1049469,294251246,296187951
480,3,304032391,303374427,2537404,300572849,305518042
488,3,310530073,310553391,1464296,309100893,312029208
496,3,323665668,324283491,1674122,323006085,326178722
504,3,328777564,328808908,1293269,327531596,330117565
512,3,343152991,343484597,1334758,342346902,344953898
