stress,iter,median,mean,stdev,min,max
0,3,3476842,4292574,3526102,1245830,8155052
8,3,4970664,6026836,3173116,3516495,9593351
16,3,3894959,4142989,1036491,3253015,5280995
24,3,3146067,3774074,3201214,933403,7242754
32,3,3092849,3219871,1814974,1471744,5095020
40,3,879892,1042803,322052,834755,1413764
48,3,869644,935204,145209,834335,1101634
56,3,3326999,2643256,1450683,977054,3625717
64,3,1257343,1828539,1279738,933871,3294405
72,3,3047379,2415509,1274892,948094,3251054
80,3,1016640,1220858,413381,949330,1696606
88,3,1157979,1112346,138236,957062,1221997
96,3,969332,962106,59232,899592,1017394
104,3,1025160,1010606,104939,899150,1107510
112,3,1366672,1265869,280783,948600,1482336
120,3,916091,956436,82753,901593,1051624
128,3,1082159,1080926,169215,911098,1249522
136,3,1088481,3341255,3930463,1055561,7879723
144,3,1086321,1056614,130119,914210,1169312
152,3,1013933,1034210,45866,1001977,1086721
160,3,1032198,1043932,114990,935258,1164340
168,3,1450839,1691139,469208,1390755,2231823
176,3,1369390,1402460,387214,1032842,1805150
184,3,979885,1023993,99827,953817,1138278
192,3,1073931,1065794,74392,987668,1135785
200,3,1097353,1301029,426839,1014178,1791556
208,3,1072528,1085615,47076,1046467,1137851
216,3,1141155,1134749,64329,1067457,1195637
224,3,1761111,1657109,287710,1331860,1878358
232,3,1145831,1126684,53090,1066677,1167546
240,3,1113273,1129027,65456,1072885,1200923
248,3,1403771,1386789,34360,1347244,1409352
256,3,1490497,2120958,1120489,1457728,3414650
264,3,1994621,1860970,321471,1494234,2094057
272,3,1194845,1288307,249793,1098722,1571355
280,3,1213363,1233718,89481,1156168,1331624
288,3,1169152,1174974,76340,1101712,1254059
296,3,1183258,1186739,56650,1131910,1245051
304,3,1173945,1199279,68232,1147338,1276555
312,3,1299897,1318043,136700,1191322,1462910
320,3,1185674,1219419,76078,1166050,1306533
328,3,1287015,1288996,94179,1195823,1384151
336,3,2940601,3020448,1570834,1491061,4629684
344,3,1182603,1210785,61896,1167995,1281757
352,3,1228173,1260833,69762,1213392,1340935
360,3,1367158,1377398,168057,1214695,1550342
368,3,1262993,1293104,71199,1241907,1374412
376,3,1472600,1588899,210458,1462256,1831842
384,3,1333110,1401277,212663,1231056,1639667
392,3,1355506,1393352,130015,1286459,1538092
400,3,1407518,1419934,73651,1353280,1499005
408,3,1268692,1304031,61588,1268255,1375148
416,3,1340617,1337450,79885,1256029,1415706
424,3,1296727,1432457,287700,1237731,1762915
432,3,1353006,1366783,77263,1297335,1450008
440,3,1378242,1374728,66403,1306637,1439305
448,3,1387692,1372736,47541,1319516,1411002
456,3,1388760,1520248,239699,1375068,1796917
464,3,1363913,1392789,107489,1302688,1511768
472,3,1619762,1598017,140193,1448222,1726069
480,3,1414911,1435226,99862,1347084,1543685
488,3,1392587,1401005,61286,1344363,1466065
496,3,1455594,1469659,33543,1445438,1507946
504,3,1645015,1633871,158724,1469869,1786731
512,3,1418466,1449753,78282,1391953,1538840
