stress,iter,median,mean,stdev,min,max
0,3,3142250,19994347,29370994,2931959,53908834
2,3,3035417,19720500,29027171,2888000,53238083
4,3,2902333,19687944,29152700,2810958,53350542
6,3,3052375,20864819,30864292,3038250,56503833
8,3,3428083,20806347,30173641,3343125,55647833
10,3,3755333,21700958,31291280,3514792,57832750
12,3,4215375,21780500,30676987,3923292,57202833
14,3,4270458,18850291,25564038,3912042,48368375
16,3,4776625,21271250,28957360,4329791,54707334
18,3,5603250,23659944,31639611,5183167,60193416
20,3,6310333,23215666,29642399,5893750,57442916
22,3,7080583,23758555,29338761,6560375,57634708
24,3,8128708,26332222,32117276,7451958,63416000
26,3,9437500,26694180,30694260,8512209,62132833
28,3,10774542,28066555,31063707,9496875,63928250
30,3,12035292,30162139,32501252,10766917,67684208
32,3,13177417,29548111,29589492,11761583,63705334
34,3,15153375,32791153,32203816,13259250,69960834
36,3,16695541,35721708,34374072,15067250,75402333
38,3,18565250,34706847,29710887,16560791,68994500
40,3,20808625,39740528,34428351,18932750,79480209
42,3,22622667,41616166,34307158,21006167,81219666
44,3,24998917,44049514,34389464,23401292,83748333
46,3,27467500,46732555,34503074,26164000,86566166
48,3,30220042,48792416,32994949,29269458,86887750
50,3,33877500,51502041,31976332,32215959,88412666
52,3,36944583,56278736,34166332,36163583,95728042
54,3,40201667,60789458,36219449,39556292,102610416
56,3,45556000,65986389,35753426,45133000,107270167
58,3,48968792,69907153,36768547,48390167,112362500
60,3,54377250,72603208,32427864,53389042,110043334
62,3,57855042,82000916,41918192,57743875,130403833
64,3,64570375,85754361,38054312,63006292,129686417
66,3,70191250,90773013,36630025,69063083,133064708
68,3,76726708,96034347,33947049,76144750,135231584
70,3,82873458,104210861,38329728,81298250,148460875
72,3,91408459,110188264,33790617,89959000,149197333
74,3,95322750,116721708,37210067,95154292,159688083
76,3,104427292,125441917,36668459,104115834,167782625
78,3,112061333,132936347,36547677,111610541,175137167
80,3,119055875,140304722,36805959,119053708,182804583
82,3,130516917,150235111,34534919,130076625,190111791
84,3,137635459,158325306,36224429,137187584,200152875
86,3,148448625,168532500,36081477,146961917,210186959
88,3,160080042,179990305,35346492,159089958,220800917
90,3,167911625,188643347,37152853,166482584,231535833
92,3,180257750,200805180,36993861,178645917,243511875
94,3,193522250,212267750,35383286,190201167,253079833
96,3,205404417,227187486,37946890,205153500,271004542
98,3,217150250,234862416,32846764,214673375,272763625
100,3,228725125,252351764,41200411,228404625,299925542
102,3,244311125,265641777,37439044,243742791,308871417
104,3,256032834,276286833,36949710,253892875,318934792
106,3,269311750,291470958,38429021,269256167,335844958
108,3,286821333,307760958,37477110,285433166,351028375
110,3,304707584,325777097,39390212,301402750,371220958
112,3,319403958,339594805,38001347,315950792,383429667
114,3,337858625,356426361,33483675,336340416,395080042
116,3,355353042,373872055,35210777,351785375,414477750
118,3,371613958,391444666,36318151,369359000,433361042
120,3,389977750,410645930,36491753,389179583,452780458
122,3,414861666,429300013,35561173,403228834,469809541
124,3,431470500,450706874,34321456,430317833,490332291
126,3,453449708,470612194,32800979,449953208,508433667
128,3,467563542,487354430,34518160,467287500,527212250
