stress,iter,median,mean,stdev,min,max
0,3,4582243,6734755,5197435,2959377,12662646
8,3,3351417,3536782,1755395,1881426,5377505
16,3,3527746,4076623,1149661,3304271,5397854
24,3,7453276,7032129,1081462,5803451,7839662
32,3,11226073,11267921,151961,11141270,11436422
40,3,19836960,19865022,97450,19784681,19973425
48,3,32922067,33706730,1404447,32869957,35328167
56,3,51044331,51095287,286934,50837245,51404286
64,3,74286601,74570398,735474,74019104,75405491
72,3,104577830,104845173,1085496,103918327,106039362
80,3,140952557,141163912,619757,140677478,141861701
88,3,187704492,187121963,1665098,185243863,188417536
96,3,241288061,240363705,2044713,238020031,241783023
104,3,304375073,304736951,1710927,303235911,306599871
112,3,377669085,378684436,3498595,375805821,382578403
