stress,iter,median,mean,stdev,min,max
0,3,2838916,19081388,28284658,2663708,51741542
2,3,2786083,19171486,28472631,2679583,52048792
4,3,2794333,17405778,25409590,2676834,46746167
6,3,3728000,19340875,27733922,2932667,51361958
8,3,2562625,19365361,29159285,2497875,53035583
10,3,2812041,17949430,26372089,2635125,48401125
12,3,2756417,20083388,30110915,2641333,54852416
14,3,2871167,19265333,28561678,2679500,52245333
16,3,2681583,16748749,24478475,2550708,45013958
18,3,2842584,19698639,29356700,2656666,53596667
20,3,2710042,17955375,26494147,2607958,48548125
22,3,2818542,17810903,26048618,2724959,47889208
24,3,2720584,19378986,28904707,2661125,52755250
26,3,2540958,18015972,26883224,2448958,49058000
28,3,2850084,18903736,27977896,2651500,51209625
30,3,2808792,18261000,26915814,2633667,49340541
32,3,2664458,17964069,26632749,2510958,48716792
34,3,2717292,18075055,26669414,2637666,48870208
36,3,2819541,18798277,27830638,2641125,50934166
38,3,2651917,17626014,25975239,2606500,47619625
40,3,2814875,17752222,26010064,2655875,47785917
42,3,2845834,18184403,26710130,2680917,49026458
44,3,2588625,16249847,23767230,2467125,43693792
46,3,2769458,20127680,30127228,2698000,54915583
48,3,2810292,19043930,28179358,2738875,51582625
50,3,2746333,19027514,28231772,2709459,51626750
52,3,2543875,16706708,24557273,2513250,45063000
54,3,2736334,19525667,29174715,2627000,53213667
56,3,2848667,19755500,29408795,2704084,53713750
58,3,2387000,16007041,23614351,2359583,43274542
60,3,2714500,20067416,30142416,2614916,54872833
62,3,2753792,17975180,26438117,2668500,48503250
64,3,2793292,18360208,27108638,2624916,49662417
66,3,2637750,18484388,27476886,2603458,50211958
68,3,2812959,18410069,27160285,2645333,49771916
70,3,2576708,16396527,23964708,2544292,44068583
72,3,2721125,20240555,30418654,2635584,55364958
74,3,2586166,17765972,26457452,2395542,48316208
76,3,2753459,18619917,27605265,2610667,50495625
78,3,2577625,17573569,26048035,2491875,47651209
80,3,2770208,19192472,28504983,2700041,52107167
82,3,2820542,18869013,27931399,2665208,51121291
84,3,3883000,18959319,26914864,2961583,50033375
86,3,2692709,19056542,28391284,2636959,51839958
88,3,2910041,20125499,30037563,2656875,54809583
90,3,2541833,16364652,24023133,2448000,44104125
92,3,2772250,20053944,29994714,2700750,54688833
94,3,2722917,20328319,30570235,2634292,55627750
96,3,2630500,16546152,24189849,2529833,44478125
98,3,2698250,18116402,26727940,2671792,48979166
100,3,2849833,19541152,29041659,2698166,53075458
102,3,2745625,19019208,28295682,2619833,51692167
104,3,2654084,17528444,25922624,2470125,47461125
106,3,2806375,17435111,25504280,2614250,46884708
108,3,2622875,17533930,25881826,2559250,47419667
110,3,2748959,18794194,27877558,2649250,50984375
112,3,2729584,17504708,25658882,2651542,47133000
114,3,2779666,19100124,28399853,2627375,51893333
116,3,2485958,17052305,25288060,2418542,46252417
118,3,2831833,20091305,30034868,2669625,54772458
120,3,2691667,19544597,29214961,2663000,53279125
122,3,2734333,17188597,25073237,2690792,46140667
124,3,2718625,19529750,29193496,2631167,53239459
126,3,2473125,14734749,21294218,2407958,39323166
128,3,2829125,19639486,29284279,2635458,53453875
