stress,iter,median,mean,stdev,min,max
0,3,3077051,4411902,2366394,3014515,7144140
16,3,3985496,3761710,1956584,1702855,5596780
32,3,3435689,3417225,414796,2993506,3822482
48,3,3321652,4089354,2355247,2213745,6732667
64,3,3577144,4013849,1410133,2873731,5590672
80,3,3702225,3711412,18969,3698785,3733226
96,3,4806063,5539521,1281153,4793648,7018853
112,3,6210890,6796944,1160404,6046446,8133496
128,3,7526905,7494684,63827,7421170,7535979
144,3,9118433,9178534,185510,9030525,9386644
160,3,10989660,10993361,51518,10943793,11046631
176,3,13172145,13138103,83103,13043384,13198782
192,3,15131448,15212496,168644,15099677,15406364
208,3,17982614,17884690,194876,17660272,18011185
224,3,20014170,20215345,377996,19980482,20651384
240,3,22600332,22668369,129169,22587441,22817336
256,3,25834493,25812545,131493,25671459,25931684
272,3,28970300,28963150,122305,28837427,29081724
288,3,32012222,32132402,360897,31846928,32538057
304,3,35678876,35766745,266190,35555598,36065761
320,3,39714469,39835655,380811,39530185,40262312
336,3,43516601,43595229,277249,43365786,43903301
352,3,47154812,47206614,277243,46958926,47506105
368,3,51567519,51550522,158378,51384331,51699718
384,3,56232555,56330244,179164,56221156,56537021
400,3,60831557,60826182,193254,60630297,61016693
416,3,65149315,65259905,275110,65057299,65573101
432,3,69930673,69852555,301753,69519425,70107569
448,3,75315436,75318716,288069,75032301,75608412
464,3,80671967,80652934,435552,80208177,81078658
480,3,86231295,85934041,682420,85153411,86417417
496,3,92573567,93211818,1241792,92418952,94642936
512,3,97213392,97233960,494195,96750370,97738119
528,3,102554456,102521490,71094,102439897,102570118
544,3,109252552,109080143,326833,108703205,109284674
560,3,115970517,116132516,816408,115409252,117017780
576,3,122085290,122243879,396727,121950977,122695370
592,3,130098850,129938751,782348,129088737,130628667
608,3,135845804,135738206,315451,135383033,135985782
624,3,143926169,143439536,1232358,142038161,144354278
640,3,149135442,149825406,1445934,148853692,151487084
656,3,156980281,156771201,515698,156183796,157149527
672,3,164613022,164732749,585847,164216015,165369212
688,3,171946254,172080649,1319017,170833975,173461720
704,3,183277469,182180735,2440890,179383852,183880885
720,3,190930166,190118570,2141408,187689998,191735547
736,3,197113079,197621299,1378138,196569443,199181377
752,3,204453479,205391042,1663574,204407856,207311792
768,3,213432478,213218505,720604,212415148,213807890
784,3,222605934,223051020,1856150,221457877,225089251
800,3,231161162,231361421,905209,230573110,232349991
816,3,241023719,240715361,1144354,239448423,241673941
832,3,251661002,253057674,2679581,251364956,256147064
848,3,261088046,261096399,269252,260831421,261369731
864,3,270502350,270895623,1211304,269929823,272254698
880,3,281539161,281294904,1306296,279883720,282461832
896,3,292733806,292590136,795793,291732295,293304308
912,3,304852524,304135842,1456220,302460173,305094829
928,3,315236494,316954071,3984628,314116279,321509440
944,3,324151796,324583916,1048506,323820528,325779425
960,3,337268035,337607167,1454196,336352504,339200962
976,3,348877510,348539733,873194,347548107,349193584
992,3,359663725,359688935,846911,358854911,360548171
1008,3,371674615,371004991,1188478,369632787,371707573
1024,3,380734547,381136359,1269146,380116757,382557775
