stress,iter,median,mean,stdev,min,max
0,3,3194831,4716507,2743831,3070691,7884001
16,3,1627120,2089339,1107250,1288088,3352810
32,3,3277081,3481591,2089073,1502294,5665399
48,3,3061705,2519087,1162198,1184821,3310737
64,3,3008478,2523368,992909,1381163,3180463
80,3,840684,905680,200322,745926,1130430
96,3,920186,1690208,1413492,828921,3321518
112,3,1157102,1867256,1527262,824374,3620293
128,3,937309,898616,87675,798251,960290
144,3,917990,1805328,1551013,901735,3596260
160,3,935500,1001214,254338,786181,1281961
176,3,989466,1050060,251592,834299,1326416
192,3,895621,912371,56878,865750,975744
208,3,930617,886312,80652,793218,935101
224,3,1338304,1362585,290071,1085418,1664035
240,3,841392,822988,48034,768473,859099
256,3,883472,953800,189467,809553,1168375
272,3,845754,854861,77389,782429,936402
288,3,861328,865039,59605,807376,926413
304,3,865020,937993,217235,766640,1182320
320,3,863069,1003860,281071,821008,1327504
336,3,1601193,1499875,386344,1072968,1825466
352,3,911259,1114754,369919,891259,1541745
368,3,851186,864201,85966,785485,955933
384,3,867678,859457,59887,795885,914810
400,3,930665,986274,179864,840781,1187376
416,3,815892,836972,79649,769983,925041
432,3,847545,850068,62635,788733,913927
448,3,1185332,1134117,275213,836894,1380127
464,3,932275,906326,157952,737006,1049698
480,3,916243,1332019,816879,806668,2273146
496,3,1187653,1139973,94645,1030971,1201297
512,3,1135452,1283671,493962,880788,1834774
528,3,931428,1006793,220913,833424,1255527
544,3,1327472,1608281,904086,877921,2619451
560,3,873778,875509,67658,808733,944017
576,3,824849,846870,43518,818764,896998
592,3,819930,962031,270118,792626,1273539
608,3,875047,857224,73856,776088,920539
624,3,875329,910617,91911,841580,1014944
640,3,876446,854172,42867,804753,881317
656,3,994797,997489,72152,926720,1070950
672,3,1210172,1981082,1441837,1088583,3644492
688,3,866065,839961,56862,774734,879086
704,3,820924,820612,55783,764673,876239
720,3,898817,896582,84535,810952,979978
736,3,913320,884827,55819,820511,920650
752,3,1201009,1208102,29212,1183089,1240208
768,3,849561,877828,102857,792060,991863
784,3,876589,875865,16870,858645,892363
800,3,1169764,1079171,241607,805361,1262390
816,3,808074,828781,85251,755792,922479
832,3,796149,867702,151190,765570,1041387
848,3,831488,837088,109382,730614,949164
864,3,793018,812756,40788,785592,859659
880,3,951381,922983,73068,839980,977590
896,3,853810,1032846,411180,741537,1503191
912,3,903278,1324293,778235,847262,2222341
928,3,931618,939203,27251,916549,969444
944,3,814727,831740,64537,777414,903080
960,3,769531,795956,64357,749018,869320
976,3,922636,1264097,719040,779410,2090246
992,3,880454,865473,76985,782098,933867
1008,3,1413202,2043442,1314868,1162328,3554797
1024,3,788989,826748,85020,767148,924109
