stress,mean,stdev,min,max,
0,177094166,0.0,177094166,177094166,
10,64784459,0.0,64784459,64784459,
20,64089500,0.0,64089500,64089500,
30,167815750,0.0,167815750,167815750,
40,61011083,0.0,61011083,61011083,
50,64740958,0.0,64740958,64740958,
60,71269583,0.0,71269583,71269583,
70,82598833,0.0,82598833,82598833,
80,143510417,0.0,143510417,143510417,
90,70381833,0.0,70381833,70381833,
100,68724250,0.0,68724250,68724250,
110,79671250,0.0,79671250,79671250,
120,80454541,0.0,80454541,80454541,
130,102439250,0.0,102439250,102439250,
140,68218458,0.0,68218458,68218458,
150,77141583,0.0,77141583,77141583,
160,73929917,0.0,73929917,73929917,
170,70685625,0.0,70685625,70685625,
180,126951583,0.0,126951583,126951583,
190,73827042,0.0,73827042,73827042,
200,68910458,0.0,68910458,68910458,
210,100069000,0.0,100069000,100069000,
220,71677833,0.0,71677833,71677833,
230,87341667,0.0,87341667,87341667,
240,70796167,0.0,70796167,70796167,
250,156903458,0.0,156903458,156903458,
260,88036041,0.0,88036041,88036041,
270,233628750,0.0,233628750,233628750,
280,65736209,0.0,65736209,65736209,
290,70751750,0.0,70751750,70751750,
300,148195125,0.0,148195125,148195125,
310,241353208,0.0,241353208,241353208,
320,75143417,0.0,75143417,75143417,
330,94740708,0.0,94740708,94740708,
340,65637833,0.0,65637833,65637833,
350,234014625,0.0,234014625,234014625,
360,65314834,0.0,65314834,65314834,
370,141198542,0.0,141198542,141198542,
380,83738792,0.0,83738792,83738792,
390,224520500,0.0,224520500,224520500,
400,63832542,0.0,63832542,63832542,
410,108595500,0.0,108595500,108595500,
420,86423083,0.0,86423083,86423083,
430,59818916,0.0,59818916,59818916,
440,158220000,0.0,158220000,158220000,
450,64627750,0.0,64627750,64627750,
460,71242792,0.0,71242792,71242792,
470,75222542,0.0,75222542,75222542,
480,64706833,0.0,64706833,64706833,
490,114536458,0.0,114536458,114536458,
500,67349875,0.0,67349875,67349875,
510,64157875,0.0,64157875,64157875,
520,86645625,0.0,86645625,86645625,
530,80801667,0.0,80801667,80801667,
540,125538333,0.0,125538333,125538333,
550,91987792,0.0,91987792,91987792,
560,85284875,0.0,85284875,85284875,
570,76543833,0.0,76543833,76543833,
580,81128250,0.0,81128250,81128250,
590,89952000,0.0,89952000,89952000,
600,72144083,0.0,72144083,72144083,
610,65779458,0.0,65779458,65779458,
620,101491375,0.0,101491375,101491375,
630,73855750,0.0,73855750,73855750,
640,112486791,0.0,112486791,112486791,
650,69947666,0.0,69947666,69947666,
660,68368709,0.0,68368709,68368709,
670,70373042,0.0,70373042,70373042,
680,92196583,0.0,92196583,92196583,
690,126933250,0.0,126933250,126933250,
700,67404667,0.0,67404667,67404667,
710,64693584,0.0,64693584,64693584,
720,97232708,0.0,97232708,97232708,
730,68666375,0.0,68666375,68666375,
740,121195916,0.0,121195916,121195916,
750,90767791,0.0,90767791,90767791,
760,67747708,0.0,67747708,67747708,
770,98604000,0.0,98604000,98604000,
780,66684541,0.0,66684541,66684541,
790,76624041,0.0,76624041,76624041,
800,90617834,0.0,90617834,90617834,
810,79643333,0.0,79643333,79643333,
820,71774584,0.0,71774584,71774584,
830,78530708,0.0,78530708,78530708,
840,125909458,0.0,125909458,125909458,
850,73597500,0.0,73597500,73597500,
860,87497875,0.0,87497875,87497875,
870,97672750,0.0,97672750,97672750,
880,229317958,0.0,229317958,229317958,
890,84671334,0.0,84671334,84671334,
900,69966500,0.0,69966500,69966500,
910,68168625,0.0,68168625,68168625,
920,106630500,0.0,106630500,106630500,
930,103667542,0.0,103667542,103667542,
940,62248667,0.0,62248667,62248667,
950,80737500,0.0,80737500,80737500,
960,68428250,0.0,68428250,68428250,
970,310587083,0.0,310587083,310587083,
980,89809792,0.0,89809792,89809792,
990,200678042,0.0,200678042,200678042,
1000,84937250,0.0,84937250,84937250,
