"Workload (ω)","iter","Median Time Elapsed (sec)","Mean Time Elapsed (sec)","stdev","min","max","Dynamic Verification","Example"
0,3,0.002838916,0.019081388,28284658,2663708,51741542,"Disabled","List"
2,3,0.002786083,0.019171486,28472631,2679583,52048792,"Disabled","List"
4,3,0.002794333,0.017405778,25409590,2676834,46746167,"Disabled","List"
6,3,0.003728,0.019340875,27733922,2932667,51361958,"Disabled","List"
8,3,0.002562625,0.019365361,29159285,2497875,53035583,"Disabled","List"
10,3,0.002812041,0.01794943,26372089,2635125,48401125,"Disabled","List"
12,3,0.002756417,0.020083388,30110915,2641333,54852416,"Disabled","List"
14,3,0.002871167,0.019265333,28561678,2679500,52245333,"Disabled","List"
16,3,0.002681583,0.016748749,24478475,2550708,45013958,"Disabled","List"
18,3,0.002842584,0.019698639,29356700,2656666,53596667,"Disabled","List"
20,3,0.002710042,0.017955375,26494147,2607958,48548125,"Disabled","List"
22,3,0.002818542,0.017810903,26048618,2724959,47889208,"Disabled","List"
24,3,0.002720584,0.019378986,28904707,2661125,52755250,"Disabled","List"
26,3,0.002540958,0.018015972,26883224,2448958,49058000,"Disabled","List"
28,3,0.002850084,0.018903736,27977896,2651500,51209625,"Disabled","List"
30,3,0.002808792,0.018261,26915814,2633667,49340541,"Disabled","List"
32,3,0.002664458,0.017964069,26632749,2510958,48716792,"Disabled","List"
34,3,0.002717292,0.018075055,26669414,2637666,48870208,"Disabled","List"
36,3,0.002819541,0.018798277,27830638,2641125,50934166,"Disabled","List"
38,3,0.002651917,0.017626014,25975239,2606500,47619625,"Disabled","List"
40,3,0.002814875,0.017752222,26010064,2655875,47785917,"Disabled","List"
42,3,0.002845834,0.018184403,26710130,2680917,49026458,"Disabled","List"
44,3,0.002588625,0.016249847,23767230,2467125,43693792,"Disabled","List"
46,3,0.002769458,0.02012768,30127228,2698000,54915583,"Disabled","List"
48,3,0.002810292,0.01904393,28179358,2738875,51582625,"Disabled","List"
50,3,0.002746333,0.019027514,28231772,2709459,51626750,"Disabled","List"
52,3,0.002543875,0.016706708,24557273,2513250,45063000,"Disabled","List"
54,3,0.002736334,0.019525667,29174715,2627000,53213667,"Disabled","List"
56,3,0.002848667,0.0197555,29408795,2704084,53713750,"Disabled","List"
58,3,0.002387,0.016007041,23614351,2359583,43274542,"Disabled","List"
60,3,0.0027145,0.020067416,30142416,2614916,54872833,"Disabled","List"
62,3,0.002753792,0.01797518,26438117,2668500,48503250,"Disabled","List"
64,3,0.002793292,0.018360208,27108638,2624916,49662417,"Disabled","List"
66,3,0.00263775,0.018484388,27476886,2603458,50211958,"Disabled","List"
68,3,0.002812959,0.018410069,27160285,2645333,49771916,"Disabled","List"
70,3,0.002576708,0.016396527,23964708,2544292,44068583,"Disabled","List"
72,3,0.002721125,0.020240555,30418654,2635584,55364958,"Disabled","List"
74,3,0.002586166,0.017765972,26457452,2395542,48316208,"Disabled","List"
76,3,0.002753459,0.018619917,27605265,2610667,50495625,"Disabled","List"
78,3,0.002577625,0.017573569,26048035,2491875,47651209,"Disabled","List"
80,3,0.002770208,0.019192472,28504983,2700041,52107167,"Disabled","List"
82,3,0.002820542,0.018869013,27931399,2665208,51121291,"Disabled","List"
84,3,0.003883,0.018959319,26914864,2961583,50033375,"Disabled","List"
86,3,0.002692709,0.019056542,28391284,2636959,51839958,"Disabled","List"
88,3,0.002910041,0.020125499,30037563,2656875,54809583,"Disabled","List"
90,3,0.002541833,0.016364652,24023133,2448000,44104125,"Disabled","List"
92,3,0.00277225,0.020053944,29994714,2700750,54688833,"Disabled","List"
94,3,0.002722917,0.020328319,30570235,2634292,55627750,"Disabled","List"
96,3,0.0026305,0.016546152,24189849,2529833,44478125,"Disabled","List"
98,3,0.00269825,0.018116402,26727940,2671792,48979166,"Disabled","List"
100,3,0.002849833,0.019541152,29041659,2698166,53075458,"Disabled","List"
102,3,0.002745625,0.019019208,28295682,2619833,51692167,"Disabled","List"
104,3,0.002654084,0.017528444,25922624,2470125,47461125,"Disabled","List"
106,3,0.002806375,0.017435111,25504280,2614250,46884708,"Disabled","List"
108,3,0.002622875,0.01753393,25881826,2559250,47419667,"Disabled","List"
110,3,0.002748959,0.018794194,27877558,2649250,50984375,"Disabled","List"
112,3,0.002729584,0.017504708,25658882,2651542,47133000,"Disabled","List"
114,3,0.002779666,0.019100124,28399853,2627375,51893333,"Disabled","List"
116,3,0.002485958,0.017052305,25288060,2418542,46252417,"Disabled","List"
118,3,0.002831833,0.020091305,30034868,2669625,54772458,"Disabled","List"
120,3,0.002691667,0.019544597,29214961,2663000,53279125,"Disabled","List"
122,3,0.002734333,0.017188597,25073237,2690792,46140667,"Disabled","List"
124,3,0.002718625,0.01952975,29193496,2631167,53239459,"Disabled","List"
126,3,0.002473125,0.014734749,21294218,2407958,39323166,"Disabled","List"
128,3,0.002829125,0.019639486,29284279,2635458,53453875,"Disabled","List"
0,3,0.00314225,0.019994347,29370994,2931959,53908834,"Enabled","List"
2,3,0.003035417,0.0197205,29027171,2888000,53238083,"Enabled","List"
4,3,0.002902333,0.019687944,29152700,2810958,53350542,"Enabled","List"
6,3,0.003052375,0.020864819,30864292,3038250,56503833,"Enabled","List"
8,3,0.003428083,0.020806347,30173641,3343125,55647833,"Enabled","List"
